## Sun Mar 12 17:57:32 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g1.t1	40483.S8DJJ9	5.91e-23	100.0	2D3FX@1|root,2SRET@2759|Eukaryota,3ANJ5@33154|Opisthokonta,3PF0T@4751|Fungi,3V5XS@5204|Basidiomycota,22AJ6@155619|Agaricomycetes,3H7DQ@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g1.t2	104355.XP_007865561.1	4.07e-41	162.0	2EES4@1|root,2SK3Y@2759|Eukaryota,3AHV3@33154|Opisthokonta,3PAHG@4751|Fungi,3V3J0@5204|Basidiomycota,22925@155619|Agaricomycetes,3H4U5@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PIF1
g1.t3	5346.XP_001836820.2	9.68e-128	404.0	COG0507@1|root,KOG0987@2759|Eukaryota,3AAIR@33154|Opisthokonta,3PA61@4751|Fungi,3V3Z1@5204|Basidiomycota,22A1S@155619|Agaricomycetes,3W9QX@5338|Agaricales	4751|Fungi	L	Belongs to the helicase family	-	-	-	-	-	-	-	-	-	-	-	-	Helitron_like_N,PIF1
g1.t4	5346.XP_001832028.2	1.62e-110	372.0	COG0507@1|root,KOG0987@2759|Eukaryota,3AEDE@33154|Opisthokonta,3PBTZ@4751|Fungi	4751|Fungi	L	Belongs to the helicase family	-	-	3.6.4.12	ko:K15255	-	-	-	-	ko00000,ko01000,ko03029,ko03032	-	-	-	PIF1
g12.t1	40483.S8E9A7	9.48e-226	639.0	COG5210@1|root,KOG2223@2759|Eukaryota,38BKA@33154|Opisthokonta,3NZ9T@4751|Fungi,3UY4G@5204|Basidiomycota,226HE@155619|Agaricomycetes,3H26W@355688|Agaricomycetes incertae sedis	4751|Fungi	T	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.	-	GO:0003674,GO:0005096,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006810,GO:0006886,GO:0008047,GO:0008104,GO:0008150,GO:0012505,GO:0015031,GO:0015833,GO:0016192,GO:0017016,GO:0017137,GO:0019899,GO:0030234,GO:0030695,GO:0031267,GO:0031338,GO:0032879,GO:0033036,GO:0033043,GO:0034613,GO:0042886,GO:0043085,GO:0043087,GO:0043547,GO:0044093,GO:0044464,GO:0045184,GO:0046907,GO:0050789,GO:0050790,GO:0050794,GO:0051020,GO:0051049,GO:0051128,GO:0051179,GO:0051234,GO:0051336,GO:0051345,GO:0051641,GO:0051649,GO:0060589,GO:0060627,GO:0065007,GO:0065009,GO:0070727,GO:0071702,GO:0071705,GO:0090630,GO:0098772	-	ko:K20167	-	-	-	-	ko00000,ko04131	-	-	-	RabGAP-TBC
g12.t2	40483.S8E9A7	1.13e-170	484.0	COG5210@1|root,KOG2223@2759|Eukaryota,38BKA@33154|Opisthokonta,3NZ9T@4751|Fungi,3UY4G@5204|Basidiomycota,226HE@155619|Agaricomycetes,3H26W@355688|Agaricomycetes incertae sedis	4751|Fungi	T	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.	-	GO:0003674,GO:0005096,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006810,GO:0006886,GO:0008047,GO:0008104,GO:0008150,GO:0012505,GO:0015031,GO:0015833,GO:0016192,GO:0017016,GO:0017137,GO:0019899,GO:0030234,GO:0030695,GO:0031267,GO:0031338,GO:0032879,GO:0033036,GO:0033043,GO:0034613,GO:0042886,GO:0043085,GO:0043087,GO:0043547,GO:0044093,GO:0044464,GO:0045184,GO:0046907,GO:0050789,GO:0050790,GO:0050794,GO:0051020,GO:0051049,GO:0051128,GO:0051179,GO:0051234,GO:0051336,GO:0051345,GO:0051641,GO:0051649,GO:0060589,GO:0060627,GO:0065007,GO:0065009,GO:0070727,GO:0071702,GO:0071705,GO:0090630,GO:0098772	-	ko:K20167	-	-	-	-	ko00000,ko04131	-	-	-	RabGAP-TBC
g13.t1	40483.S8FJL3	0.0	1032.0	KOG2065@1|root,KOG2065@2759|Eukaryota,3999D@33154|Opisthokonta,3NX1H@4751|Fungi,3V2IV@5204|Basidiomycota,2257B@155619|Agaricomycetes,3H0DE@355688|Agaricomycetes incertae sedis	4751|Fungi	Z	Spc97 / Spc98 family	-	-	-	ko:K14849,ko:K16571	-	-	-	-	ko00000,ko01009,ko03009,ko03036,ko04812	-	-	-	Spc97_Spc98
g13.t2	40483.S8FJL3	0.0	946.0	KOG2065@1|root,KOG2065@2759|Eukaryota,3999D@33154|Opisthokonta,3NX1H@4751|Fungi,3V2IV@5204|Basidiomycota,2257B@155619|Agaricomycetes,3H0DE@355688|Agaricomycetes incertae sedis	4751|Fungi	Z	Spc97 / Spc98 family	-	-	-	ko:K14849,ko:K16571	-	-	-	-	ko00000,ko01009,ko03009,ko03036,ko04812	-	-	-	Spc97_Spc98
g13.t3	40483.S8FJL3	0.0	1032.0	KOG2065@1|root,KOG2065@2759|Eukaryota,3999D@33154|Opisthokonta,3NX1H@4751|Fungi,3V2IV@5204|Basidiomycota,2257B@155619|Agaricomycetes,3H0DE@355688|Agaricomycetes incertae sedis	4751|Fungi	Z	Spc97 / Spc98 family	-	-	-	ko:K14849,ko:K16571	-	-	-	-	ko00000,ko01009,ko03009,ko03036,ko04812	-	-	-	Spc97_Spc98
g14.t1	202698.XP_007378855.1	1.04e-193	539.0	COG0221@1|root,KOG1626@2759|Eukaryota,38CDN@33154|Opisthokonta,3NUSR@4751|Fungi,3UY11@5204|Basidiomycota,225BW@155619|Agaricomycetes,3H453@355688|Agaricomycetes incertae sedis	4751|Fungi	C	Inorganic pyrophosphatase	IPP1	GO:0003674,GO:0003824,GO:0004427,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006793,GO:0006796,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0009277,GO:0009628,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0030312,GO:0030446,GO:0031012,GO:0033554,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0062039,GO:0062040,GO:0071214,GO:0071470,GO:0071944,GO:0104004	3.6.1.1	ko:K01507	ko00190,map00190	-	-	-	ko00000,ko00001,ko01000	-	-	iMM904.YBR011C,iND750.YBR011C	Pyrophosphatase
